,기준_년분기_코드,행정동_코드,월_평균_소득_금액,음식_지출_총금액,점포_수,유사_업종_점포_수,개업_율,개업_점포_수,폐업_률,폐업_점포_수,프랜차이즈_점포_수,당월_매출_금액,당월_매출_건수,총_직장_인구_수,총_상주인구_수,총_유동인구_수
6611,20214,11110560,4504006,806346000,64,68,3,2,2,1,4,2902666519,54062,23179,18390,820240
6612,20214,11140520,5380521,3202118000,276,320,2,7,2,6,44,31297596455,683355,77533,2073,2526204
6613,20214,11170520,2540319,1032811000,60,61,3,2,3,2,1,912612777,28388,1795,9925,5004300
6614,20214,11170530,3183091,2176172000,197,226,4,8,3,6,29,17973049148,498907,21173,7618,2177910
6615,20214,11170580,3523201,200964000,22,23,0,0,0,0,1,714416392,30199,1644,10191,4131375
6616,20214,11215850,2683701,1588507000,195,221,5,12,4,9,26,9450666992,285562,3628,22038,8496371
6617,20214,11230570,3136080,410098000,45,48,0,0,0,0,3,1262557049,37527,4013,19195,2601446
6618,20214,11230720,2722774,741235000,79,88,5,4,1,1,9,2570694492,112074,1421,13616,5576408
6619,20214,11260550,2233073,199353000,45,48,4,2,4,2,3,1820091698,46295,1080,15170,2666528
6620,20214,11290580,3583117,249049000,16,17,6,1,0,0,1,226126275,9297,2329,15288,2953874
6621,20214,11290590,4297592,95227000,11,12,0,0,8,1,1,383620138,16241,11726,24591,2972859
6622,20214,11290600,2896471,2267657000,148,169,5,8,4,6,21,7796103001,418790,4686,14908,6469456
6623,20214,11290660,4462339,577658000,53,65,5,3,3,2,12,972184375,37803,6329,36397,6555495
6624,20214,11305603,2308539,102132000,29,30,3,1,0,0,1,807238526,19236,1380,16440,3485514
6625,20214,11320700,2099146,299579000,85,87,1,1,2,2,2,2079951376,120653,1017,20278,2922809
6626,20214,11380510,3055864,1353282000,130,142,3,4,1,2,12,7965837540,223352,5199,37380,7217010
6627,20214,11380590,3510245,244810000,65,68,3,2,2,1,3,588596951,25320,1048,27580,3795078
6628,20214,11380600,2360910,1454825000,196,212,3,7,3,6,16,8381282340,244527,2243,25229,7645833
6629,20214,11380640,2838450,421768000,88,93,0,0,0,0,5,1400136014,44460,2848,15338,3295858
6630,20214,11380650,3253972,104826000,44,49,2,1,2,1,5,1112458743,27170,1766,11132,1491454
6631,20214,11410520,4197718,511901000,81,89,1,1,3,3,8,3736725028,109046,1823,17742,4141589
6632,20214,11410720,2590646,943900000,117,125,2,2,0,0,8,6286441768,222379,3057,32607,12174524
6633,20214,11440630,4157605,570879000,79,87,3,3,2,2,8,2630365894,84964,5675,23146,5419962
6634,20214,11470590,2639083,718639000,82,86,1,1,2,2,4,2592156271,79629,1813,18411,3399170
6635,20214,11500535,3403390,1955193000,152,182,4,7,4,7,30,8646195248,261985,15368,31490,7068707
6636,20214,11500591,3040513,1561672000,216,239,5,12,3,8,23,6874427670,188775,10754,24230,5121279
6637,20214,11500641,3044446,287175000,48,49,4,2,4,2,1,1334377618,41584,5011,23471,3128306
6638,20214,11530560,3213284,2716548000,258,293,4,11,4,13,35,14837493232,437264,14392,29372,6642408
6639,20214,11530740,2805757,797477000,124,135,3,4,4,6,11,3721049256,134778,4844,34336,7764355
6640,20214,11530790,2682295,355539000,60,65,3,2,5,3,5,2031181225,97347,3693,23972,1844190
6641,20214,11545690,2516251,212214000,73,80,1,1,0,0,7,2077063215,67193,7990,11130,1364400
6642,20214,11560540,5590853,12408108000,789,871,2,21,2,16,82,77106434224,1712372,217817,34156,5799638
6643,20214,11560610,3508250,1105370000,133,155,4,6,2,3,22,5156542708,192514,12821,17384,5185194
6644,20214,11590510,3583099,1937507000,257,281,1,3,2,5,24,7896257828,374916,5875,32054,6682192
6645,20214,11590530,3875896,1563614000,145,164,3,5,3,5,19,6275598326,236968,6189,45153,7952054
6646,20214,11590550,2575897,796232000,66,70,1,1,4,3,4,2727279156,123920,1371,25071,5028904
6647,20214,11590620,2855173,2874841000,200,215,4,9,2,5,15,14551807957,374734,3916,23072,7271164
6648,20214,11590680,3340157,1505351000,110,126,3,4,3,4,16,6726720558,260612,22031,20916,4754828
6649,20214,11620665,2530625,456369000,83,89,2,2,2,2,6,2139498310,96346,1808,25506,5202182
6650,20214,11620695,2434279,2316010000,226,257,4,9,3,7,31,14392331469,437856,1946,21839,10144262
6651,20214,11620725,2523192,1509054000,179,192,5,10,5,9,13,8371304481,256290,3254,17480,6417144
6652,20214,11620745,2593695,193044000,62,63,2,1,5,3,1,697739369,34279,1795,23760,7943932
6653,20214,11650620,4681587,478885000,41,47,0,0,6,3,6,2785935120,107779,17809,21283,3248483
6654,20214,11680521,3277066,4982972000,384,423,5,20,2,10,39,31687203418,732293,41576,22994,10190569
6655,20214,11680531,3973993,5326075000,514,558,5,30,4,22,44,41713432094,968366,55372,21740,10641167
6656,20214,11680590,5055114,2419470000,172,192,6,11,7,13,20,16050060392,432884,62165,30115,9130871
6657,20214,11680656,6567504,2205911000,109,126,6,7,5,6,17,7799961812,216889,192577,33941,3992069
6658,20214,11680660,5336373,9623000,4,5,0,0,0,0,1,10252033,80,18376,6408,735700
6659,20214,11680740,4553185,230223000,29,33,0,0,0,0,4,312642650,8436,5600,17642,1104962
6660,20214,11710550,2339431,638594000,108,120,3,3,2,2,12,3659687217,129154,2599,19564,5904526
6661,20214,11710632,3910198,1360955000,116,127,2,2,2,3,11,7851173336,280480,10171,33013,6598362
6662,20214,11710641,3568357,736429000,98,105,4,4,4,4,7,4214630995,156255,34975,20369,4518480
6663,20214,11710646,3263464,686505000,76,83,1,1,0,0,7,5138804556,122369,6769,30000,8340785
6664,20214,11710720,6014516,31038000,6,6,0,0,0,0,0,52509268,3782,14130,9882,657767
6665,20214,11740550,4618641,337118000,35,38,0,0,3,1,3,1609796905,51186,2188,25955,3551846
6666,20221,11110550,3647449,559022000,37,39,0,0,5,2,2,586467842,23477,4115,10015,1283546
